row_index,id,ref_status,cand_status,ref_dom,cand_dom,d_res,d_debt,d_goal,d_inv,d_lump,total_abs_diff,fcf,risk,pdn
5847,SP3-05847,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,36185.94,4,0.0
5857,SP3-05857,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,14318.650000000023,5,0.0
6154,SP3-06154,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,2500.529999999999,5,0.0
6480,SP3-06480,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,4643.76,4,0.3086
6837,SP3-06837,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,202270.04000000004,5,0.0805
7138,SP3-07138,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,5648.280000000002,4,0.1316
7234,SP3-07234,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,5576.679999999999,1,0.2524
7974,SP3-07974,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,138883.91999999995,5,0.2589
8292,SP3-08292,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,18980.61,3,0.1708
8917,SP3-08917,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,8909.599999999999,1,0.0
9254,SP3-09254,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,45709.97,5,0.0
9271,SP3-09271,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,378613.17000000004,3,0.0
9414,SP3-09414,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,8178.11,3,0.1871
9919,SP3-09919,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,5013.249999999985,1,0.7342
10052,SP3-10052,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,48650.619999999995,3,0.2403
10166,SP3-10166,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,172083.28,1,0.2477
10788,SP3-10788,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,4440.690000000001,2,0.38
11689,SP3-11689,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,3145.6399999999994,5,0.3486
11954,SP3-11954,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,41344.77,5,0.0
43,SP3-00043,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,2549.4000000000087,5,0.4457
56,SP3-00056,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,89255.14000000001,2,0.0
125,SP3-00125,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,157735.99000000002,1,0.1218
510,SP3-00510,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,88790.17000000001,3,0.0
610,SP3-00610,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,77528.94999999998,1,0.1536
1177,SP3-01177,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,24204.5,2,0.536
1340,SP3-01340,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,2381.8,1,0.2463
1596,SP3-01596,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,244.04999999999927,3,0.298
2020,SP3-02020,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,12886.910000000003,3,0.0
2094,SP3-02094,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,8694.21,3,0.2666
2213,SP3-02213,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,11537.390000000001,4,0.1371
2241,SP3-02241,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,7595.199999999997,5,0.0
2293,SP3-02293,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,219807.05,2,0.0
2366,SP3-02366,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,8421.989999999994,4,0.0518
2538,SP3-02538,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,75802.31999999999,2,0.0079
2701,SP3-02701,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,5157.910000000002,2,0.0
2739,SP3-02739,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,10715.239999999998,3,0.0948
2914,SP3-02914,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,37183.23,4,0.1613
2915,SP3-02915,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,4980.7,1,0.0809
2935,SP3-02935,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,7731.260000000006,3,0.2729
2961,SP3-02961,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,44472.92000000001,5,0.0
3432,SP3-03432,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,80321.16,2,0.0
4014,SP3-04014,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,4696.330000000002,5,0.2609
4032,SP3-04032,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,5436.150000000002,1,0.0746
4045,SP3-04045,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,1929.6299999999974,5,0.0
4215,SP3-04215,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,26420.52999999999,3,0.0365
4639,SP3-04639,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,319151.84,2,0.0
4713,SP3-04713,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,32837.14,1,0.3239
4829,SP3-04829,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,24261.34,3,0.0604
5010,SP3-05010,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,8072.030000000004,3,0.0429
5011,SP3-05011,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,186358.31999999995,4,0.3879
5207,SP3-05207,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,3740.1399999999994,4,0.6386
5364,SP3-05364,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,155427.62,2,0.0
5394,SP3-05394,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,10831.400000000001,1,0.4
5411,SP3-05411,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,13383.930000000004,2,0.2158
5419,SP3-05419,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,8982.990000000002,2,0.127
5605,SP3-05605,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,1609.5400000000081,3,0.2055
5712,SP3-05712,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,25273.11,1,0.0
5872,SP3-05872,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,7808.770000000002,5,0.2837
5918,SP3-05918,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,16725.33,1,0.1116
5964,SP3-05964,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,2090.3099999999977,1,0.229
6012,SP3-06012,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,11462.77,1,0.2291
6459,SP3-06459,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,33316.05,4,0.0299
6807,SP3-06807,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,19260.84,5,0.0647
7223,SP3-07223,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,13927.92,2,0.0
7445,SP3-07445,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,39676.34,2,0.2306
7674,SP3-07674,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,6088.780000000004,3,0.2125
8007,SP3-08007,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,101936.26999999997,4,0.1864
8557,SP3-08557,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,19929.060000000005,4,0.2834
8631,SP3-08631,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,3466.930000000004,1,0.0888
9050,SP3-09050,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,22709.69,3,0.0
9243,SP3-09243,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,13282.410000000002,1,0.2757
9513,SP3-09513,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,38693.61,4,0.0242
9572,SP3-09572,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,3367.0700000000015,5,0.1346
9758,SP3-09758,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,39617.31,2,0.0
10019,SP3-10019,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,154947.33999999997,1,0.0
10528,SP3-10528,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,36254.29000000001,5,0.0
11690,SP3-11690,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,33264.869999999995,3,0.0
11748,SP3-11748,ok,ok,goals+,debt,0.0,0.0,0.0,0.0,0.0,0.0,44947.780000000006,5,0.0
11866,SP3-11866,ok,ok,reserve,debt,0.0,0.0,0.0,0.0,0.0,0.0,3147.850000000002,1,0.4348
11946,SP3-11946,ok,ok,debt,reserve,0.0,0.0,0.0,0.0,0.0,0.0,4380.73,5,0.2303
2171,SP3-02171,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-16600016.0,16600016.0,210947.55,2,0.3036
1837,SP3-01837,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-11922535.0,11922535.0,-17815.29999999993,5,0.4241
1053,SP3-01053,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-10683609.0,10683609.0,-593497.68,4,0.4413
11896,SP3-11896,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-9305837.0,9305837.0,116368.75,2,0.1761
8786,SP3-08786,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-9215976.0,9215976.0,-311409.14000000013,2,0.6909
10529,SP3-10529,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-7921319.0,7921319.0,158898.83999999997,3,0.327
4037,SP3-04037,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-3959193.0,3959193.0,40398.68,5,0.0
640,SP3-00640,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-3923324.0,3923324.0,-598790.72,5,0.5904
10507,SP3-10507,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-3856330.0,3856330.0,10911.449999999979,4,0.0782
1835,SP3-01835,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-3163057.0,3163057.0,14193.650000000023,2,0.6509
11609,SP3-11609,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-2388853.0,2388853.0,-290134.1499999999,2,0.8515
9499,SP3-09499,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-2012120.0,2012120.0,75512.40000000002,5,0.0129
11910,SP3-11910,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-1994291.0,1994291.0,-100562.54,2,0.3785
3702,SP3-03702,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-1876557.0,1876557.0,16764.260000000002,2,0.0923
8713,SP3-08713,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-1491445.0,1491445.0,34061.979999999996,5,0.477
9715,SP3-09715,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-1464276.0,1464276.0,675938.28,4,0.0
4855,SP3-04855,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-1196125.0,1196125.0,-27312.199999999997,1,0.3899
8931,SP3-08931,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-1156694.0,1156694.0,216140.94,3,0.0
5683,SP3-05683,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-918130.0,918130.0,-36872.479999999996,3,0.7478
4576,SP3-04576,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-915081.0,915081.0,16162.590000000004,5,0.0
8841,SP3-08841,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-846666.0,846666.0,-262137.59999999998,2,0.2128
4883,SP3-04883,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-841820.0,841820.0,-48603.83000000001,2,0.7904
1234,SP3-01234,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-801287.0,801287.0,-49668.86,5,0.7091
5643,SP3-05643,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-763479.0,763479.0,48178.549999999996,5,0.0
1188,SP3-01188,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-731333.0,731333.0,61685.84,1,0.0
7902,SP3-07902,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-676688.0,676688.0,-40651.149999999994,4,0.6161
10843,SP3-10843,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-634059.0,634059.0,-3094.739999999998,4,0.428
6735,SP3-06735,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-554837.0,554837.0,-8612.579999999994,1,0.4451
8281,SP3-08281,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-531438.0,531438.0,-11334.349999999999,5,0.3509
5500,SP3-05500,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-430840.0,430840.0,7947.209999999999,2,0.0
291,SP3-00291,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-427105.0,427105.0,1507.8000000000047,2,0.0879
8312,SP3-08312,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-411444.0,411444.0,-7157.55999999999,3,0.3132
3889,SP3-03889,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-407048.0,407048.0,9465.290000000008,3,0.2822
9095,SP3-09095,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-406568.0,406568.0,773.3400000000001,2,0.1371
558,SP3-00558,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-337863.0,337863.0,96304.46999999997,5,0.2474
4284,SP3-04284,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-331415.0,331415.0,-106082.98000000007,3,0.0528
3389,SP3-03389,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-329184.0,329184.0,9789.650000000001,4,0.0
7880,SP3-07880,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-326475.0,326475.0,31047.660000000003,3,0.2444
10954,SP3-10954,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-319718.0,319718.0,-8838.71,1,0.7934
9367,SP3-09367,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-305418.0,305418.0,15985.820000000002,5,0.1179
461,SP3-00461,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-296878.0,296878.0,30.510000000009313,2,0.0
2868,SP3-02868,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-294440.0,294440.0,15749.730000000001,5,0.0
7031,SP3-07031,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-289892.0,289892.0,2594.439999999995,2,0.3342
2860,SP3-02860,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-279676.0,279676.0,6828.539999999995,3,0.3171
7371,SP3-07371,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-274850.0,274850.0,8548.140000000003,1,0.2651
1063,SP3-01063,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-264496.0,264496.0,3540.130000000001,2,0.527
7682,SP3-07682,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-253843.0,253843.0,14045.66,1,0.3155
5718,SP3-05718,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-229105.0,229105.0,3489.3499999999985,4,0.1111
5513,SP3-05513,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-225773.0,225773.0,3465.639999999992,2,0.3026
5048,SP3-05048,ok,ok,none,none,0.0,0.0,0.0,0.0,-221632.0,221632.0,1.4551915228366852e-11,2,0.4617
7359,SP3-07359,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-217023.0,217023.0,40686.600000000006,3,0.246
7936,SP3-07936,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-212364.0,212364.0,-9980.6,3,0.7365
4707,SP3-04707,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-199941.0,199941.0,397.7000000000007,4,0.2582
5672,SP3-05672,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-184410.0,184410.0,17240.779999999995,4,0.3234
10956,SP3-10956,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-181090.0,181090.0,476551.23000000004,1,0.3478
10047,SP3-10047,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-175943.0,175943.0,17007.50999999998,4,0.0713
10602,SP3-10602,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-141462.0,141462.0,25647.499999999996,4,0.0
5503,SP3-05503,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-132768.0,132768.0,-4322.909999999996,3,0.2286
2718,SP3-02718,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-126719.0,126719.0,13997.620000000003,5,0.3576
10523,SP3-10523,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-119880.0,119880.0,12785.44999999999,5,0.332
2732,SP3-02732,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-117358.0,117358.0,53536.020000000004,3,0.0
3875,SP3-03875,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-107071.0,107071.0,446.6800000000003,1,0.1698
1656,SP3-01656,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-106992.0,106992.0,19512.21,3,0.3378
3840,SP3-03840,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-96179.0,96179.0,1094.449999999997,5,0.3089
7257,SP3-07257,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-92808.0,92808.0,1370.7200000000012,3,0.226
7002,SP3-07002,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-90522.0,90522.0,15961.39000000001,4,0.3385
1713,SP3-01713,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-83858.0,83858.0,21301.57,4,0.2046
8897,SP3-08897,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-68199.0,68199.0,2788.1099999999897,1,0.0934
3491,SP3-03491,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-58404.0,58404.0,2525.8199999999997,5,0.3735
8223,SP3-08223,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-52100.0,52100.0,18601.300000000003,2,0.1159
9987,SP3-09987,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-48927.0,48927.0,-6825.719999999998,1,0.1397
10545,SP3-10545,ok,ok,goals+,goals+,0.0,0.0,0.0,0.0,-45977.0,45977.0,32618.660000000003,2,0.0
1116,SP3-01116,deficit,deficit,none,none,0.0,0.0,0.0,0.0,-40429.0,40429.0,-7654.929999999997,2,0.425
8190,SP3-08190,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-35476.0,35476.0,4956.269999999997,2,0.0747
7485,SP3-07485,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-30737.0,30737.0,3491.74,2,0.2313
3293,SP3-03293,ok,ok,reserve,reserve,0.0,0.0,0.0,0.0,-29477.0,29477.0,11802.339999999991,1,0.0084
10756,SP3-10756,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-26778.0,26778.0,6380.47,5,0.0428
6637,SP3-06637,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-18429.0,18429.0,10371.770000000002,3,0.0999
9052,SP3-09052,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-18299.0,18299.0,3286.95,2,0.1218
7736,SP3-07736,ok,ok,debt,debt,0.0,0.0,0.0,0.0,-11265.0,11265.0,13411.659999999996,1,0.1507
7,SP3-00007,ok,ok,goals+,goals+,0.0,0.0,0.0,777.0,0.0,777.0,36454.39000000001,4,0.0924
150,SP3-00150,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-829.5599999999904,3,0.3734
269,SP3-00269,ok,ok,debt,debt,0.0,0.0,0.0,777.0,0.0,777.0,21094623.379999995,2,0.257
285,SP3-00285,ok,ok,debt,debt,0.0,0.0,0.0,777.0,0.0,777.0,5431.280000000001,1,0.169
492,SP3-00492,ok,ok,goals+,goals+,0.0,0.0,0.0,777.0,0.0,777.0,144606.36,5,0.0331
494,SP3-00494,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-3352.229999999996,2,0.0
499,SP3-00499,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-80509.51,4,1.3981
600,SP3-00600,ok,ok,reserve,reserve,0.0,0.0,0.0,777.0,0.0,777.0,13805.169999999998,4,0.4077
734,SP3-00734,ok,ok,reserve,reserve,0.0,0.0,0.0,777.0,0.0,777.0,1569.7400000000016,4,0.0
800,SP3-00800,ok,ok,reserve,reserve,0.0,0.0,0.0,777.0,0.0,777.0,8211.249999999985,1,0.2722
965,SP3-00965,ok,ok,debt,debt,0.0,0.0,0.0,777.0,0.0,777.0,13028.320000000003,2,0.0828
986,SP3-00986,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-5753.939999999999,5,0.2719
1109,SP3-01109,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-1243.0799999999945,5,0.3668
1211,SP3-01211,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-77591.38,4,0.4884
1238,SP3-01238,ok,ok,reserve,reserve,0.0,0.0,0.0,777.0,0.0,777.0,17293.17,2,0.0
1309,SP3-01309,ok,ok,reserve,reserve,0.0,0.0,0.0,777.0,0.0,777.0,2386.66,1,0.0
1387,SP3-01387,ok,ok,goals+,goals+,0.0,0.0,0.0,777.0,0.0,777.0,101098.59000000003,3,0.401
1476,SP3-01476,ok,ok,goals+,goals+,0.0,0.0,0.0,777.0,0.0,777.0,18521.329999999994,2,0.0
1502,SP3-01502,ok,ok,debt,debt,0.0,0.0,0.0,777.0,0.0,777.0,973451887.5999999,3,0.0946
1660,SP3-01660,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-33369.22,5,0.7588
1667,SP3-01667,ok,ok,debt,debt,0.0,0.0,0.0,777.0,0.0,777.0,3153.8999999999983,1,0.1203
1721,SP3-01721,deficit,deficit,none,none,0.0,0.0,0.0,777.0,0.0,777.0,-9595.439999999997,3,0.1471
