"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"12","11.01.2017,  38918/17/2033-ТМ","Общество с ограниченной ответственностью Профессиональная коллекторская организация Траст», ООО «ПКО Траст»","ОГРН 1063801051203, ИНН 3801084488","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","665801,  Иркутская область, г.о. Ангарский, г. Ангарск,  Квартал 252,  стр. 19, офис 202","catrust.ru","trust@catrust.ru","","","1"
"13","11.01.2017,  38918/17/2034-ТМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация Траст-Западная Сибирь», ООО «ПКО Траст-Западная Сибирь»","ОГРН 1143801000463, ИНН 3801128449","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","665801,  Иркутская область, г.о. Ангарский, г. Ангарск,  Квартал 252,  стр. 19, офис 203","trust-zs.ru","trust@catrust.ru","","","1"
"14","11.01.2017,  38918/17/2035-ТМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация Управляющая компания Траст», ООО «ПКО Управляющая компания Траст»","ОГРН 1103801002909, ИНН 3801109213","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","665801,  Иркутская область, г.о. Ангарский, г. Ангарск,  Квартал 252,  стр. 19, офис 207","trust-uk.ru","trust@catrust.ru","","","1"
"15","11.01.2017,  38918/17/2036-ТМ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация Компания Траст», ООО « ПКО Компания Траст»","ОГРН 1103801001963, ИНН 3801108273","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","665801,  Иркутская область, г.о. Ангарский, г. Ангарск,  Квартал 252,  стр. 19, офис 208","trust-k.ru","trust@catrust.ru","","","1"
"16","11.01.2017,  50904/17/520-ЛН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Долговое агентство «Центр кредитной безопасности», ООО ПКО «ДА-ЦКБ»","ОГРН 1075038012060,  ИНН 5042094666","ПАО СК «Росгосстрах», период действия договора с 29.12.2025 по 28.12.2026","141304,  Московская область, Сергиево-Посадский район,  г. Сергиево-Посад, Московское ш., д. 6","dackb.ru","info@dackb.ru","","","1"
"17","11.01.2017,  78922/17/3720-АЛ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Филберт», ООО ПКО «Филберт»","ОГРН 1107847250961,  ИНН 7841430420","АО «АльфаСтрахование», период действия договора с 24.08.2025 по 23.08.2026","198028,  г. Санкт-Петербург,  ул. Маршала Говорова,  д. 35, корп. 5, лит. Ж","filbert.su; Filbert.pro","debt@filbert.pro","","","4"
"18","12.01.2017,  1/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Бюро кредитной безопасности «РУССКОЛЛЕКТОР», ООО ПКО ""Бюро кредитной безопасности «РУССКОЛЛЕКТОР»","ОГРН 1067746233455,  ИНН 7714634848","СПАО «Ингосстрах», период действия договора с 15.03.2026 по 14.03.2027","129515,  г. Москва, ул. Академика Королева,  д. 13, стр. 1, эт. 2, ком. 14, помещ. II","russcollector.ru","info@russcollector.ru","","","1"
"19","12.01.2017,  2/17/77000-СЗ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Агентство Региональная организация по сбору долгов», ООО ПКО «Агентство Р.О.С.долгЪ»","ОГРН 1097746191410,  ИНН 7704724468","ООО «Абсолют Страхование», период действия договора с 01.01.2025 по 31.12.2025","125252,  г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул. Авиаконструктора Микояна, д. 12,  помещ. 12/3","rosdolg.com","info@rosdolg.com zapros@rosdolg.su","","12.11.2025, 77922/25/208178-НК",""
"20","12.01.2017,  3/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Столичное агентство по возврату долгов», ООО ПКО «Столичное АВД»","ОГРН 1057746413922,  ИНН 7717528291","ООО «Абсолют Страхование», период действия договора с 30.03.2026 по 29.03.2027","125212,  г. Москва,  вн.тер.г. муниципальный округ Головинский,  б-р Кронштадтский,  д. 7А, помещ. 11/5","stcollector.ru","avdcc@stcollector.ru Info@stcollector.ru","","","4"
"21","12.01.2017,  4/17/77000-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Кредит Инкасо Рус», ООО «ПКО «Кредит Инкасо Рус»","ОГРН 1035006495171,  ИНН 5032094681","ООО «Абсолют Страхование», период действия договора с 20.12.2025 по 19.12.2026","127273,  г. Москва,  Березовая аллея, д. 5А,  стр. 7, помещ. 4","kredytinkaso.ru","office_moscow@kredytinkaso.ru","","","1"
"22","12.01.2017,  5/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Кредитэкспресс Финанс», ООО ПКО «КЭФ»","ОГРН 1127747190152,  ИНН 7707790885","ПАО СК «Росгосстрах», период действия договора с 29.03.2025 по 28.03.2027","127055,  г. Москва, вн.тер.г. муниципальный округ Тверской, Бутырский Вал, д. 68/70,  стр. 1, этаж 4, помещ. I, ком. 44","creditexpress.ru","legal@creditexpress.ru","","","4"
"23","12.01.2017,  6/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Феникс», ООО ПКО «Феникс»","ОГРН 1147746920144,  ИНН 7713793524","СПАО «Ингосстрах», период действия договора с 29.12.2025 по 28.12.2026","127287,  г. Москва,  ул. 2-я Хуторская,  д. 38 а, стр. 26","phoenix-ca.ru","claim@phoenix-ca.ru","","","4"
"24","12.01.2017,  7/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЭВЕРЕСТ», ООО ПКО «ЭВЕРЕСТ»","ОГРН 1147746052475, ИНН 7716764909","ООО «Абсолют Страхование», период действия договора с 28.12.2025 по 27.12.2026","117342,  г. Москва, вн.тер.г.муниципальный округ Коньково,  ул. Бутлерова, д.17, помещ. 112/4","everestcollect.ru","contact@everestcollect.ru","","","4"
"25","12.01.2017,  8/17/77000-СЗ","Общество с ограниченной ответственностью «ЦЗ инвест», ООО «ЦЗ инвест»","ОГРН 1073255000312, ИНН 3255054921","АО АСК «Инвестстрах», период действия договора с 29.12.2017 по 28.12.2018","241050,  Брянская область,  г. Брянск,  Проезд Центральный,  стр. 5/1, офис 1","czfinance.ru","contact-rt@czfinance.ru","","22.01.2019,  322906/19/819-ВО",""
"26","12.01.2017,  59922/17/573-ИК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Камелот», ООО «ПКО «Камелот»","ОГРН 1075902008445, ИНН 5902160058","АО «Совкомбанк страхование»,  период действия договора с 30.04.2024 по 29.04.2027","614000,  Пермский край,  г. Пермь,  ул. Ленина,  д. 38, офис 307","kamelotperm.ru","kamelot.al@mail.ru","","","1"
"27","12.01.2017,  59922/17/569-ИК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Агентство юридического взыскания и сопровождения», ООО ПКО «Агентство ЮВС»","ОГРН 1065904113109, ИНН 5904144541","СПАО «Ингосстрах», период действия договора с 15.01.2026 по 14.01.2027","614000,  Пермский край,  г. Пермь,  ул. Краснофлотская,  д. 28","lcs-agency.ru","mail@lcs-agency.ru","","","1"
"28","13.01.2017,  61918/17/2529-ЮР","Общество с ограниченной ответственностью  «Л-КОЛЛЕКШН», ООО «ЛК»","ОГРН 1096154001900,  ИНН 6154560469","АО «АльфаСтрахование», период действия договора с 17.04.2018 по 16.04.2019","347900,  Ростовская область,  г. Таганрог,  Пер. Тургеневский, д. 34,  кв. 2","kalazer.ru","","","09.04.2019,  61919/19/21709-ЕК",""
"29","13.01.2017,  61918/17/2527-ЮР","Общество с ограниченной ответственностью «П.Р.Е.С.К.О.», ООО «П.Р.Е.С.К.О.»","ОГРН 1147746699022, ИНН 7714938194","ООО «Абсолют Страхование», период действия договора с 26.04.2022 по 25.04.2023","344002,  Ростовская область,  г. Ростов-на-Дону,  ул. Московская, д. 55А, помещ. 1Б, 1В, 1Г, 2","prescogroup.com.ru","","","10.02.2023, 61922/22/14219-ЕК",""
"30","18.01.2017,  78922/17/3721-АЛ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «НОРД КОЛЛЕКТ», ООО «ПКО «НОРД КОЛЛЕКТ»","ОГРН 1167847054484,  ИНН 7802560095","ООО «Зетта Страхование», период действия договора с 19.12.2025 по 18.12.2026","195277,  г. Санкт-Петербург,  пр-кт Финляндский, д. 4, литера А,  помещ. 14-Н-627-629, офис 209.","nordcollect.ru","legal@nordcollect.ru","","","1"
"31","18.01.2017,  9/17/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ВИНГО», ООО ПКО «ВИНГО»","ОГРН 1127746767202,  ИНН 7715936506","ПАО СК «Росгосстрах», период действия договора с 24.02.2026 по 23.02.2027","117420,  г. Москва,  ул. Профсоюзная, д. 57, офис эт. 4, помещ. III, ком. 114","wingocollect.ru","moscow@primocollect.ru","","","1"
"32","18.01.2017,  10/17/77000-СЗ","Общество с ограниченной ответственностью «ЮрБизнес-М», ООО «ЮрБизнес-М»","ОГРН 1117746031226,  ИНН 7716680078","СПАО «Ингосстрах», период действия договора с 29.12.2016 по 28.12.2017","123060,  г. Москва,  ул. Расплетина, д. 13,  помещ. IIа","yb-m.ru","","","21.12.2017, 77922/17/197462-СЗ",""
"33","18.01.2017,  11/17/77000-СЗ","Общество с ограниченной ответственностью «ДОЛГОВОЙ ЦЕНТР», ООО «ДОЛГОВОЙ ЦЕНТР»","ОГРН 1127747137055,  ИНН 7720765937","ООО «Зетта Страхование», период действия договора с 13.01.2022 по 12.01.2023","107078,  г. Москва, вн. тер. г. муниципальный округ Красносельский, пер. Орликов, д. 5, стр. 2, эт. 7, помещ. 34, офис В","dcmkb.ru","","","10.04.2023, 83963/23/598908-НК",""
"34","20.01.2017,  16905/17/2551-РИ","Общество с ограниченной ответственностью «Служба взыскания «Редут», ООО «СВР»","ОГРН 1111690048711, ИНН 1655218105","ОАО «АльфаСтрахование», период действия договора с 11.01.2017 по 12.01.2018","420021,  Республика Татарстан  г. Казань,  ул. Ахтямова, д. 1,  этаж 2, помещ. 4А","svredut.ru","info@svredut.ru","","06.07.2017, 16922/17/28113-РИ",""
"35","23.01.2017,  78922/17/3722-АЛ","Общество с ограниченной ответственностью «КОНСТАНТА», ООО «КОНСТАНТА»","ОГРН 1147847057214,  ИНН 7840502513","ООО СК «Экип», период действия договора с 27.12.2017 по 26.12.2018","195043,  г. Санкт-Петербург, Рябовское шоссе,  д. 120, лит. А, помещ. 210","sk2.su","glazkova@constantdolr.ru","","07.05.2018, 204",""
"36","25.01.2017,  61918/17/2549-ЮР","Общество с ограниченной ответственностью «Профессиональная Коллекторская Организация «Сила Права», ООО «ПКО «СП»","ОГРН 1066164002354,  ИНН 6164244208","АО «АльфаСтрахование», период действия договора с 01.01.2026 по 31.12.2026","344013,  Ростовская область,  г. Ростов-на-Дону,  ул. Мечникова, д. 39В","dolgrostov.ru","sp@dolgrostov.ru","","","1"
"37","25.01.2017,  52922/17/1922-ИК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Бэтта», ООО ПКО «Бэтта»","ОГРН 1065260108430,  ИНН 5260181171","ООО «Абсолют Страхование», период действия договора с 28.03.2026 по 27.03.2027","603005,  Нижегородская область, г. Нижний Новгород,  ул. Ковалихинская, д. 72,  кв. 71","betta-nn.ru","Info@betta-nn.ru","","","1"
"38","25.01.2017,  25918/17/2200-АК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Премьер Авто», ООО ПКО «Премьер Авто»","ОГРН 1142536006898,  ИНН 2536275392","СПАО «Ингосстрах», период действия договора с 01.01.2026 по 31.12.2026","690001,  Приморский край,  г. Владивосток  ул. Светланская, д. 85,  помещ. X","premier25.ru","corp@premier25.ru","","","1"
"39","26.01.2017,  78922/17/3723-АЛ","Общество с ограниченной ответственностью «профессиональная коллекторская организация «АГЕНТСТВО ФИНАНСОВОЙ И ПРАВОВОЙ БЕЗОПАСНОСТИ», ООО «ПКО «АФПБ»","ОГРН 1077847215820,  ИНН 7842355430","СПАО «Ингосстрах», период действия договора с 07.04.2026 по 06.04.2027","195009,  г. Санкт-Петербург, просп. Кондратьевский, д. 2, литер Л, офис 301","afpb.agency","mail@afpb.ru","","","1"
"40","26.01.2017,  58906/17990-ЕП","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Лайф», ООО ПКО «Лайф»","ОГРН 1125836004667,  ИНН 5836652784","ООО «Абсолют Страхование», период действия договора с 01.01.2026 по 31.12.2027","440000,  Пензенская область  г. Пенза,  ул. Пушкина, д. 3,  офис 506","CFB2012.ru","235566L@mail.ru","","","1"
"41","27.01.2017,  37901/17/1210-СД","Общество с ограниченной ответственностью «Компания региональный Долговой Центр», ООО «КРДЦ»","ОГРН 1143702006931, ИНН 3702724465","СПАО «Ингосстрах», период действия договора с 01.01.2023 по 31.12.2023","153000,  Ивановская область,  г. Иваново,  ул. Степанова, д. 17","regiondolg.ru","regiondolg@mail.ru","","29.12.2023, 37907/23/41694-АЧ",""
"42","31.01.2017,  50904/17/3966-СЩ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЦКБ-Финанс», ООО ПКО «ЦКБ-Финанс»","ОГРН 1115042007960,  ИНН 5042122070","ПАО СК «Росгосстрах», период действия договора с 17.01.2024 по 16.01.2025","141304,  Московская область, Сергиево-Посадский район,  г. Хотьково, ул. Майолик, д.6","debtpatrol.ru","gkh@debtpatrol.ru","","24.02.2025, 50922/25/60137-СБ",""
"43","31.01.2017,  34918/17/3794-ВЗ","Общество с ограниченной ответственностью «Дженерал Коллекшн Групп», ООО «Джи Си Джи»","ОГРН 1163443070746,  ИНН 3460064633","ОАО «АльфаСтрахование», период действия договора с 01.01.2018 по 31.12.2018","400074,  Волгоградская область, г. Волгоград,  ул. Барикадная, д. 1, ком. 20","generalcg.ru","info@generalcg.ru","","26.08.2019,  34922/19/38119-ВЕ",""
"44","01.02.2017,  19907/17/1341-ИК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «БВД, ООО ПКО «БВД»","ОГРН 1111901004940,  ИНН 1901104600","АО «Совкомбанк страхование», период действия договора с 21.05.2026 по 20.05.2027","655001,  Республика Хакасия,  г. Абакан,  ул. Крылова,  д. 96, кв. 130","bvd19.ru","ngv@bvd19.ru","","","1"
"45","02.02.2017,  73922/17/2596-АТ","Общество с ограниченной ответственностью «Финколлект», ООО «Быстроденьги ФК»","ОГРН 1157325001910,  ИНН 7325135420","СПАО «Ингосстрах», период действия договора с 01.01.2018 по 31.12.2018","432001,  Ульяновская область,  г. Ульяновск,  ул. Карла Маркса, д. 13 А, корп. 1","fincollect.ru","info@fincollect.ru","","09.11.2018, 322",""
"46","02.02.2017,  77922/17/945531-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Юридическая компания «Группа СВС», ООО ПКО «ЮК «Группа СВС»","ОГРН 1097746059003,  ИНН 7709824836","СПАО «Ингосстрах», период действия договора с 31.03.2026 по 30.03.2027","115114,  г. Москва,  Дербеневская наб., д. 11, этаж 9, помещ. Б","uk-svs.ru","info@uk-svs.ru","","","1"
"47","02.02.2017,  77922/17/945533-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЭОС», ООО ПКО «ЭОС»","ОГРН 1077758117117,  ИНН 7714704125","АО «АльфаСтрахование», период действия договора с 01.03.2026 по 29.02.2027","17638,  г. Москва, вн.тер.г.муниципальный округ Зюзино,  ул. Одесская,  д. 2, помещ. 1/12","oooeos.ru","eos@oooeos.ru info@eos-solutions.ru","","","1"
"48","02.02.2017,  77922/17/945532-СЗ","Общество с ограниченной ответственностью «Проф коллекшн», ООО «Проф коллекшн»","ОГРН 1157746563347,  ИНН 9715202234","ООО «Зетта Страхование», период действия договора с 01.11.2022 по 31.10.2023","354037,  Краснодарский край,  г. Сочи, пер. Виноградный, д. 2А, офис 12","prof-collection.ru","info@prof-collection.ru","","04.07.2023, 325",""
"49","02.02.2017,  77922/17/945530-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «МИНДОЛГ», ООО ПКО «МИНДОЛГ»","ОГРН 1117746354110,  ИНН 7718846561","ООО «Абсолют Страхование», период действия договора с 17.01.2026 по 16.01.2027","119019,  г. Москва,  вн.тер.г. муниципальный округ Арбат, ул. Арбат,  д. 6/2, помещ. 1/1/4","mindolg.com","info@mindolg.com","","","1"
"50","02.02.2017,  77922/17/945528-СЗ","Общество с ограниченной ответственностью «Долговое агентство ДЕЛЬТА М», ООО «Долговое агентство «ДЕЛЬТА М»","ОГРН 1146193004748,  ИНН 6166095992","ООО «Зетта Страхование», период действия договора с 01.09.2021 по 31.08.2022","105120,  г. Москва,  Мельницкий пер., д. 1,  ком. 2В","delta-m.net","","","29.08.2022, 77922/22/8513217-СЗ",""
"51","02.02.2017,  77922/17945526-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Центр исполнения судебных решений», ООО ПКО «Центр исполнения судебных решений»","ОГРН 5077746295402,  ИНН 7731563442","ООО «Абсолют Страхование», период действия договора с 30.04.2024 по 29.04.2025","115114,  г. Москва,  Дербеневская наб., д. 11, помещ. 81, офис 1А-504","cisrlaw.com","info@cisrlaw.com","","06.09.2024, 77922/24/430009-НК",""
"52","06.02.2017,  59922/17/4259-ИК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Вела», ООО ПКО «Вела»","ОГРН 1145958042702,  ИНН 5907998189","СПАО «Ингосстрах», период действия договора с 17.01.2026 по 16.01.2027","614030,  Пермский край,  г. Пермь,  ул. Кабельщиков, д. 6","vela-perm.ru","vela_perm@mail.ru","","","1"
"53","06.02.2017,  78922/17/10669-АЛ","Общество с ограниченной ответственностью «Клевер», ООО «Клевер»","ОГРН 1127847416730,  ИНН 7806483807","СПАО «Ингосстрах», период действия договора с 01.01.2022 по 31.12.2022","195027,  г. Санкт-Петербург, вн.тер.г. муниципальный округ Большая Охта, пр-т Шаумяна,  д. 4, корп. 1, литера А, помещ. 3-Н,  офис 315","clevercollect.ru","info@dca.ru","","16.06.2023, 78922/23/773087-АЛ",""
"54","07.02.2017,  78922/17/10726-АЛ","Общество с ограниченной ответственностью «ЭйБиСи Финанс», ООО «ЭйБиСи Финанс»","ОГРН 1117847513365,  ИНН 7820326919","ООО «Страховая компания «Орбита», срок действия договора с 01.01.2019 по 31.12.2019","195279,  г. Санкт-Петербург,  ш. Революции д. 69  лит. А, офис 222","abc-fin.com","info@abc-fin.com","","30.04.2019,  78922/19/20859-АЛ",""
"55","07.02.2017,  56922/17/1919-АО","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Правовой Центр «ОДА», ООО ПКО «Правовой центр «ОДА»","ОГРН 1085658001813,  ИНН 5609065998","АО «АльфаСтрахование», период действия договора с 16.01.2026 по 15.01.2027","460000,  Оренбургская область,  г. Оренбург,  ул. Гая, д. 3","oda56.ru","center@oda56.ru","","","1"
"56","07.02.2017,  61919/17/4309-ЮР","Общество с ограниченной ответственностью «Агентство правовых услуг», ООО «АПУ»","ОГРН 1136194001602,  ИНН 6168064037","АО «Акционерная СК «РОСМЕД», период действия договора с 01.01.2017 по 31.12.2017","344091,  Ростовская область,  г. Ростов-на-Дону,  ул. Малиновского,  д. 3Д, офис 31","ag-pu.ru","","","10.01.2018,  61919/18/194-ЮР",""
"57","08.02.2017,  66922/17/4827-ВО","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Авантаж», ООО «ПКО «Авантаж»","ОГРН 1086672016925,  ИНН 6672274395","СПАО «Ингосстрах», период действия договора с 30.12.2025 по 29.12.2026","620073,  Свердловская область, г. Екатеринбург,  ул. Крестинского, д. 53Б","LLC-Avantage.ru","LLC-Avantage@mail.ru","","","1"
"58","09.02.2017,  77922/17/951142-СЗ","Общество с ограниченной ответственностью «КОНТРАСТ-КРЕДИТ МЕНЕДЖМЕНТ», ООО «ККМ»","ОГРН 1107746642167,  ИНН 7710872418","ООО «Зетта Страхование», период действия договора с 15.01.2018 по 14.01.2019","115088,  г. Москва,  ул. Угрешская, д. 2,  стр. 2, ком. 16, 23,  офис В","contrust-cm.ru","","","12.12.2018,  77922/18/146549-СЗ",""
"59","10.02.2017,  78922/17/11245-АЛ","Общество с ограниченной ответственностью «КИТ Финанс Капитал», ООО «КИТ Финанс Капитал»","ОГРН 1097847236310,  ИНН 7840417963","АО «АльфаСтрахование», период действия договора с 01.01.2018 по 31.12.2018","197101,  г. Санкт-Петербург,  ул. Дивенская, д. 1,  лит. А","kitkapital.ru","info@kitkapital.ru","","13.11.2018,  78922/18/40205-АЛ",""
"60","10.02.2017,  699007/17/2599-МС","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ЛЕКС», ООО ПКО «ЛЕКС»","ОГРН 1086952029339,  ИНН 6950094350","ООО «Абсолют Страхование», период действия договора с 16.01.2026 по 15.01.2027","170006,  Тверская область,  г. Тверь,  ул. Брагина, д. 6А,  офис 307","pkolex.ru","info@sodeistvie-tv.ru","","","1"
"61","13.02.2017,  02922/17/3758 -ИМ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «УралДолгНадзор», ООО ПКО «УДН»","ОГРН 1080276008581,  ИНН 0276118240","СПАО «Ингосстрах», период действия договора с 24.01.2026 по 23.01.2027","450059,,  Республика Башкортостан, г.о. город Уфа, г. Уфа,  ул. Рихарда Зорге,  д. 34, кв. 19","uraldolgnadzor.ru","uraldolgnadzor@yandex.ru","","","1"
"62","13.02.2017,  10907/17/2508-АГ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «ИЛМА», ООО «ПКО «ИЛМА»","ОГРН 1091001002509,  ИНН 1001219735","АО «Зетта Страхование», период действия договора с 20.12.2025 по 19.12.2026","185035,  Республика Карелия,  г. Петрозаводск,  ул. Гоголя, д. 58, 2 этаж","dolgovoeagentstvo.pro","sud@ilma.me","","","2"
"63","13.02.2017,  82906/17/2275-ЮЧ","Общество с ограниченной ответственностью «ФИНСОЮЗ АКТИВ ЮГ», ООО «ФИНСОЮЗ АКТИВ ЮГ»","ОГРН 1159102132750,  ИНН 9102201986","ООО «ИНКОР Страхование», период действия договора с 12.01.2018 по 11.01.2019","295034,  Республика Крым,  г. Симферополь,  просп. Кирова, д. 29/1,  офис 413-Б","finsoyuz.ru","info@finsoyuz.ru","","28.08.2018,  82906/18/16129-ИР",""
"64","13.02.2017,  82906/17/2276-ЮЧ","Общество с ограниченной ответственностью «ПРОГРЕСС СЕРВИС», ООО «ПРОГРЕСС СЕРВИС»","ОГРН 1159102131760,  ИНН 9102201601","АО «Акционерная СК «РОСМЕД», период действия  с 12.01.2017 по 11.01.2018","295000,  Республика Крым,  г. Симферополь,  ул. Петропавловская,  д. 3, офис 314","progres-servis.ru","info@progress-srv.ru","","06.03.2018, 82906/18/3824-ИР",""
