id,status,dom,res,debt,goal,inv,lump
SP-00104,ok,debt,0,18073,0,0,24876
SP-00105,ok,goals+,0,0,251,0,860842
SP-00106,ok,reserve,3502,0,0,1111,0
SP-00107,ok,reserve,8463,7876,0,0,0
SP-00108,ok,debt,0,1495,0,0,77604
SP-00109,ok,reserve,17208,11159,0,0,0
SP-00110,ok,reserve,494,0,328,0,0
SP-00111,ok,reserve,3138,0,2092,0,0
SP-00112,ok,goals+,0,0,1114,0,0
SP-00113,ok,debt,0,19975,0,13318,0
SP-00114,deficit,none,0,0,0,0,0
SP-00115,ok,reserve,24982,0,0,24636,95153
SP-00116,ok,goals+,0,0,30434,23194,506136
SP-00117,ok,reserve,25227,0,16817,0,0
SP-00118,ok,reserve,19454,0,0,0,0
SP-00119,ok,reserve,20178,0,0,0,0
SP-00120,ok,reserve,189,0,33,0,0
SP-00121,ok,goals+,0,0,6826,0,180611
SP-00122,deficit,none,0,0,0,0,0
SP-00123,ok,reserve,869884507,0,0,0,0
SP-00124,ok,reserve,13060,0,0,0,0
SP-00125,ok,reserve,12206,0,10626,0,0
SP-00126,deficit,none,0,0,0,0,0
SP-00127,ok,reserve,23218,0,4411,0,0
SP-00128,ok,reserve,17115,0,7897,0,0
SP-00129,ok,debt,41674,62511,16512,0,0
SP-00130,ok,reserve,3400,0,0,0,0
SP-00131,ok,debt,0,10807,0,0,4719
SP-00132,deficit,none,0,0,0,0,0
SP-00133,ok,reserve,49505,0,0,0,0
SP-00134,ok,debt,0,19172,0,0,16281
SP-00135,deficit,none,0,0,0,0,0
SP-00136,ok,reserve,9844,0,6562,0,0
SP-00137,ok,debt,0,898,0,0,13409
SP-00138,ok,reserve,5390,0,3592,0,0
SP-00139,deficit,none,0,0,0,0,174926
SP-00140,deficit,none,0,0,0,0,0
SP-00141,ok,reserve,6566,0,0,0,0
SP-00142,deficit,none,0,0,0,0,0
SP-00143,ok,reserve,31083,0,20721,0,0
SP-00144,ok,debt,0,17228,0,0,2046
SP-00145,ok,reserve,1200,0,0,0,0
SP-00146,ok,reserve,5410,0,0,0,0
SP-00147,ok,goals+,0,0,7997,0,1019326
SP-00148,deficit,none,0,0,0,0,0
SP-00149,ok,reserve,10595,0,7062,0,0
SP-00150,ok,goals+,0,0,14482,0,0
SP-00151,ok,reserve,36467,0,0,0,0
SP-00152,ok,goals+,0,0,4530,0,75368
SP-00153,ok,debt,0,5900,0,0,7744
SP-00154,ok,reserve,29246,0,0,0,0
SP-00155,ok,debt,0,91807,0,0,72045
SP-00156,ok,reserve,13349,0,8898,0,0
SP-00157,ok,reserve,2018,0,0,0,0
SP-00158,ok,reserve,7810,0,5206,0,0
SP-00159,ok,reserve,22665,0,12664,0,0
SP-00160,ok,goals+,1,0,23938,16654,274853
SP-00161,deficit,none,0,0,0,0,0
SP-00162,ok,goals+,75,0,27,144,0
SP-00163,ok,reserve,4230,0,2819,0,0
SP-00164,ok,reserve,63090,0,0,0,0
SP-00165,ok,reserve,135635283,0,90423521,0,0
SP-00166,ok,reserve,10617,0,0,0,0
SP-00167,ok,debt,0,37245,0,0,20323
SP-00168,deficit,none,0,0,0,0,0
SP-00169,ok,debt,0,6703,0,0,72619
SP-00170,ok,reserve,17993,0,11995,0,0
SP-00171,ok,reserve,14695,0,0,0,0
SP-00172,ok,reserve,31213,0,0,0,0
SP-00173,ok,reserve,31360,0,0,0,0
SP-00174,deficit,none,0,0,0,0,0
SP-00175,ok,reserve,2629,0,0,0,0
SP-00176,ok,goals+,0,0,0,32587,14097
SP-00177,deficit,none,0,0,0,0,0
SP-00178,ok,reserve,20668,0,13778,0,0
SP-00179,ok,reserve,18513,0,0,0,0
SP-00180,deficit,none,0,0,0,0,0
SP-00181,ok,debt,140,210,0,0,25922
SP-00182,deficit,none,0,0,0,0,0
SP-00183,deficit,none,0,0,0,0,0
SP-00184,ok,reserve,14700,0,9800,0,0
SP-00185,ok,reserve,18330,0,0,0,0
SP-00186,ok,reserve,66898,0,0,0,0
SP-00187,ok,reserve,11745,0,0,0,0
SP-00188,ok,reserve,15589,0,0,0,0
SP-00189,ok,goals+,0,0,4548,2712,491306
SP-00190,ok,reserve,35330,0,1718,0,0
SP-00191,ok,reserve,8536,0,0,0,0
SP-00192,deficit,none,0,0,0,0,0
SP-00193,ok,reserve,612,0,0,0,0
SP-00194,ok,debt,0,23968,0,0,8947
SP-00195,ok,reserve,3481,0,0,0,0
SP-00196,ok,debt,0,49869,0,0,3710
SP-00197,deficit,none,0,0,0,0,0
SP-00198,ok,goals+,0,0,30188,0,32802
SP-00199,ok,reserve,23512,0,0,0,0
SP-00200,ok,reserve,18839,0,0,0,0
SP-00201,deficit,none,0,0,0,0,0
SP-00202,deficit,none,0,0,0,0,0
SP-00203,ok,reserve,25416,0,993,0,0
SP-00204,ok,reserve,7,0,0,0,0
SP-00205,ok,goals+,5725,0,17532,0,0
SP-00206,ok,debt,0,6143,0,0,6878
SP-00207,ok,reserve,133676568,0,89117711,0,0
SP-00208,ok,reserve,368,0,244,0,0
SP-00209,ok,reserve,9194,0,6129,0,0
SP-00210,deficit,none,0,0,0,0,0
SP-00211,deficit,none,0,0,0,0,0
SP-00212,ok,reserve,861,0,0,0,0
SP-00213,ok,goals+,3808,5711,6345,0,0
SP-00214,ok,reserve,18118,0,12078,0,0
SP-00215,ok,reserve,285,0,189,0,0
SP-00216,deficit,none,0,0,0,0,0
SP-00217,ok,reserve,17134,1116,1240,0,0
SP-00218,ok,debt,0,13925,0,0,74724
SP-00219,deficit,none,0,0,0,0,0
SP-00220,ok,reserve,76290,0,343,0,0
SP-00221,deficit,none,0,0,0,0,0
SP-00222,deficit,none,0,0,0,0,0
SP-00223,ok,reserve,48306,42003,0,0,0
SP-00224,ok,reserve,6124,0,1570,0,0
SP-00225,deficit,none,0,0,0,0,0
SP-00226,ok,reserve,14546,0,0,0,0
SP-00227,deficit,none,0,0,0,0,0
SP-00228,ok,debt,6589,9882,0,0,0
SP-00229,ok,debt,0,8445,0,0,46477
SP-00230,ok,reserve,13550,0,9033,0,0
SP-00231,ok,goals+,0,0,0,30018,3424869
SP-00232,ok,reserve,82450,0,0,0,0
SP-00233,ok,reserve,13259,0,8572,0,0
SP-00234,ok,goals+,0,0,34249,0,41347
SP-00235,ok,reserve,76129,0,17942,0,0
SP-00236,ok,debt,0,4311,0,0,84473
SP-00237,ok,goals+,1552,2326,2585,0,0
SP-00238,ok,debt,0,22085,0,0,36936
SP-00239,ok,reserve,47948,0,31964,0,0
SP-00240,deficit,none,0,0,0,0,0
SP-00241,ok,reserve,27894,0,10380,0,0
SP-00242,ok,reserve,6923,0,4615,0,0
SP-00243,ok,goals+,840,1260,1400,0,30326
SP-00244,ok,goals+,4421,5677,6307,0,0
SP-00245,ok,reserve,13233,0,8821,0,0
SP-00246,ok,reserve,124,0,18,0,0
SP-00247,ok,reserve,7558,0,0,0,0
SP-00248,ok,debt,0,13466,0,0,52140
SP-00249,ok,reserve,289147440,0,0,0,0
SP-00250,ok,debt,0,4722,0,0,27562
SP-00251,ok,reserve,4224,0,2816,0,0
SP-00252,deficit,none,0,0,0,0,0
SP-00253,ok,goals+,2237,0,13753,0,0
SP-00254,ok,debt,0,27597,0,0,15185
SP-00255,ok,goals+,30740,0,45772,14344,0
SP-00256,ok,reserve,18299,0,0,0,0
SP-00257,deficit,none,0,0,0,0,0
SP-00258,deficit,none,0,0,0,0,0
SP-00259,ok,reserve,43345,0,1758,0,0
SP-00260,ok,reserve,8749,0,0,0,0
SP-00261,deficit,none,0,0,0,0,147764
SP-00262,ok,reserve,1632,0,1088,0,0
SP-00263,ok,goals+,1888,2830,3145,0,0
SP-00264,deficit,none,0,0,0,0,0
SP-00265,ok,reserve,35079,0,4813,0,0
SP-00266,deficit,none,0,0,0,0,0
SP-00267,ok,reserve,26318,0,0,0,0
SP-00268,ok,reserve,59534,0,11417,0,0
SP-00269,ok,debt,0,30919,0,0,100401
SP-00270,ok,reserve,4085,0,0,0,0
SP-00271,ok,goals+,0,0,38601,0,188159
SP-00272,deficit,none,0,0,0,0,0
SP-00273,ok,goals+,0,0,0,19104,1979385
SP-00274,ok,reserve,6693,0,4461,0,0
SP-00275,ok,reserve,5889,0,0,0,0
SP-00276,ok,goals+,0,1906,3389,0,66646
SP-00277,ok,reserve,6707,0,4471,0,0
SP-00278,ok,reserve,2580,0,0,0,0
SP-00279,ok,goals+,1988,2980,3312,0,0
SP-00280,ok,reserve,14057,0,9370,0,0
SP-00281,ok,reserve,7215,0,4107,0,0
SP-00282,ok,reserve,449,0,299,0,0
SP-00283,ok,reserve,3023,0,0,0,0
SP-00284,ok,reserve,15840,0,10560,0,0
SP-00285,ok,goals+,0,0,6689,0,23638
SP-00286,ok,debt,0,10397,0,0,12226
SP-00287,ok,debt,0,5607,0,0,33500
SP-00288,ok,reserve,98,0,32,0,0
SP-00289,ok,reserve,5703,0,0,0,0
SP-00290,ok,reserve,4237,0,0,0,0
SP-00291,ok,reserve,605017062,0,0,0,0
SP-00292,deficit,none,0,0,0,0,0
SP-00293,ok,reserve,4337,0,0,0,0
SP-00294,deficit,none,0,0,0,0,0
SP-00295,ok,reserve,8760,0,5839,0,0
SP-00296,ok,goals+,3309,4963,5514,0,0
SP-00297,ok,reserve,13325,0,8801,0,0
SP-00298,ok,debt,5294,7939,0,0,0
SP-00299,ok,goals+,5397,0,14999,0,0
SP-00300,deficit,none,0,0,0,0,0
SP-00301,ok,reserve,17298,0,11531,0,0
SP-00302,ok,goals+,2692,4037,4485,0,0
SP-00303,deficit,none,0,0,0,0,0
SP-00304,ok,reserve,649,0,0,0,0
SP-00305,ok,goals+,3017,4524,5027,0,0
SP-00306,deficit,none,0,0,0,0,0
SP-00307,ok,goals+,0,0,9714,0,201486
SP-00308,deficit,none,0,0,0,0,0
SP-00309,ok,reserve,26857,0,0,0,0
SP-00310,ok,debt,0,21386,0,0,44893
SP-00311,ok,reserve,5737,0,3824,0,0
SP-00312,ok,reserve,39729,0,0,0,0
SP-00313,ok,debt,0,7741,0,0,265333
SP-00314,ok,goals+,3096,4644,5160,0,0
SP-00315,ok,goals+,0,0,0,13416,1483527
SP-00316,ok,debt,0,59567,0,0,198893
SP-00317,ok,reserve,2425,0,0,0,0
SP-00318,ok,reserve,17339,0,5825,0,0
SP-00319,ok,debt,0,11906,0,0,73349
SP-00320,ok,reserve,7274,0,0,0,0
SP-00321,ok,reserve,10149,0,0,0,0
SP-00322,deficit,none,0,0,0,0,0
SP-00323,deficit,none,0,0,0,0,0
SP-00324,deficit,none,0,0,0,0,0
SP-00325,ok,debt,0,13420,0,0,34736
SP-00326,ok,reserve,3336,0,2224,0,0
SP-00327,ok,reserve,8876,0,5917,0,0
SP-00328,ok,reserve,137101,0,0,0,0
SP-00329,ok,reserve,20733,0,0,0,0
SP-00330,ok,reserve,58,0,37,0,0
SP-00331,ok,reserve,14150,0,9432,0,0
SP-00332,ok,reserve,11493,0,7662,0,0
SP-00333,ok,reserve,880378930,0,64429485,0,0
SP-00334,ok,goals+,4845,7266,8074,0,0
SP-00335,ok,reserve,17679,0,0,0,0
SP-00336,deficit,none,0,0,0,0,0
SP-00337,ok,reserve,17374,0,0,0,0
SP-00338,ok,reserve,12829,0,8552,0,0
SP-00339,ok,goals+,0,0,78307,0,43201
SP-00340,ok,goals+,0,0,15237,0,216252
SP-00341,ok,reserve,19331,0,12886,0,0
SP-00342,deficit,none,0,0,0,0,0
SP-00343,ok,debt,0,9113,0,0,45553
SP-00344,ok,reserve,3335,0,0,0,0
SP-00345,deficit,none,0,0,0,0,0
SP-00346,ok,reserve,3672,0,0,0,0
SP-00347,ok,debt,0,12999,0,0,10505
SP-00348,deficit,none,0,0,0,0,0
SP-00349,ok,reserve,2237,0,0,0,0
SP-00350,ok,debt,0,16783,0,0,131639
SP-00351,ok,reserve,81011,0,0,0,0
SP-00352,ok,reserve,7167,0,0,0,0
SP-00353,ok,goals+,0,0,19077,40122,80384
SP-00354,ok,reserve,318,0,0,0,0
SP-00355,ok,debt,0,14623,0,0,93850
SP-00356,ok,reserve,6459,0,0,0,0
SP-00357,ok,goals+,0,0,0,60551,2541015
SP-00358,ok,debt,0,8387,0,0,186840
SP-00359,ok,reserve,312,0,207,0,0
SP-00360,ok,goals+,0,0,31261,0,21952
SP-00361,ok,reserve,5027,0,3351,0,0
SP-00362,ok,reserve,8436,0,0,0,0
SP-00363,ok,reserve,8704,0,0,0,0
SP-00364,ok,reserve,21202,0,0,0,0
SP-00365,ok,reserve,51169,0,34112,0,0
SP-00366,deficit,none,0,0,0,0,0
SP-00367,ok,reserve,12821,0,0,0,0
SP-00368,ok,reserve,10445,0,0,0,0
SP-00369,ok,goals+,252,378,419,0,0
SP-00370,ok,reserve,2067,0,1377,0,0
SP-00371,ok,reserve,51607,0,15982,0,0
SP-00372,ok,reserve,47,0,30,0,0
SP-00373,ok,reserve,13923,0,0,0,0
SP-00374,ok,goals+,3325,0,10301,2708,0
SP-00375,ok,reserve,124611856,0,83074570,0,0
SP-00376,ok,goals+,0,0,31931,31308,37143
SP-00377,ok,goals+,0,0,0,22818,117100
SP-00378,deficit,none,0,0,0,0,0
SP-00379,ok,debt,1162,1741,0,0,0
SP-00380,ok,reserve,17347,0,0,0,0
SP-00381,ok,goals+,0,0,11821,43549,141222
SP-00382,ok,goals+,0,0,12654,0,35827
SP-00383,ok,debt,0,6215,0,0,9199
SP-00384,deficit,none,0,0,0,0,0
SP-00385,deficit,none,0,0,0,0,0
SP-00386,ok,reserve,30783,0,0,0,0
SP-00387,deficit,none,0,0,0,0,0
SP-00388,ok,reserve,30493,0,8862,0,0
SP-00389,ok,reserve,80260,0,0,0,0
SP-00390,ok,goals+,1,0,0,10236,324793
SP-00391,ok,reserve,233,0,0,0,0
SP-00392,ok,debt,0,13145,0,0,132968
SP-00393,ok,reserve,18349,0,0,0,0
SP-00394,ok,reserve,12143,829,922,0,0
SP-00395,ok,reserve,25505,2940,0,0,0
SP-00396,ok,reserve,22113,0,0,0,0
SP-00397,ok,debt,0,25137,0,0,34927
SP-00398,ok,reserve,24704,0,0,0,0
SP-00399,ok,goals+,1,0,19378,0,928041
SP-00400,deficit,none,0,0,0,0,0
SP-00401,ok,debt,5632,8446,0,0,0
SP-00402,ok,reserve,2427,0,1617,0,0
SP-00403,ok,reserve,5229,0,0,0,0
SP-00404,ok,reserve,17201,0,1280,0,0
SP-00405,ok,reserve,1525,0,0,0,0
SP-00406,ok,debt,342,512,0,0,0
SP-00407,ok,goals+,7271,10906,12118,0,0
SP-00408,ok,reserve,17447,0,2011,0,0
SP-00409,ok,debt,2029,3043,0,0,0
SP-00410,ok,reserve,9543,0,6361,0,0
SP-00411,deficit,none,0,0,0,0,0
SP-00412,ok,debt,0,16733,0,0,189895
SP-00413,ok,reserve,8484,0,0,0,0
SP-00414,ok,reserve,90,0,19,0,0
SP-00415,ok,debt,0,14594,0,0,59937
SP-00416,ok,goals+,0,0,5007,873,111585
SP-00417,deficit,none,0,0,0,0,0
SP-00418,ok,reserve,40110,0,0,0,0
SP-00419,ok,reserve,4893,0,0,0,0
SP-00420,deficit,none,0,0,0,0,0
SP-00421,ok,debt,0,9107,0,0,35094
SP-00422,deficit,none,0,0,0,0,0
SP-00423,ok,goals+,0,0,12608,109420,388451
SP-00424,ok,goals+,5207,7809,8677,0,0
SP-00425,ok,reserve,6275,0,0,0,0
SP-00426,deficit,none,0,0,0,0,0
SP-00427,ok,reserve,6063,0,0,0,0
SP-00428,ok,reserve,12144,0,0,0,0
SP-00429,ok,reserve,1210,0,0,0,0
SP-00430,ok,reserve,13395,0,8929,0,0
SP-00431,deficit,none,0,0,0,0,0
SP-00432,ok,reserve,26070,0,4040,0,0
SP-00433,ok,goals+,1588,2381,2646,0,0
SP-00434,deficit,none,0,0,0,0,0
SP-00435,ok,reserve,25126,0,0,0,0
SP-00436,deficit,none,0,0,0,0,0
SP-00437,ok,reserve,16388,0,0,0,0
SP-00438,ok,reserve,1367,0,0,0,0
SP-00439,ok,debt,0,17655,0,0,43245
SP-00440,ok,debt,0,19283,0,0,191200
SP-00441,ok,goals+,1,0,0,6567,1145684
SP-00442,deficit,none,0,0,0,0,0
SP-00443,ok,debt,0,31405,0,0,24753
SP-00444,ok,goals+,2227,3340,3710,0,0
SP-00445,deficit,none,0,0,0,0,0
SP-00446,ok,debt,0,27538,0,0,159856
SP-00447,ok,reserve,1143,0,0,0,0
SP-00448,deficit,none,0,0,0,0,0
SP-00449,deficit,none,0,0,0,0,0
SP-00450,ok,reserve,12785,0,0,0,0
SP-00451,deficit,none,0,0,0,0,0
SP-00452,ok,reserve,12046,0,0,0,0
SP-00453,deficit,none,0,0,0,0,0
SP-00454,ok,debt,0,1175,0,0,159279
SP-00455,ok,reserve,10583,0,0,0,0
SP-00456,ok,reserve,52,0,0,0,0
SP-00457,ok,goals+,0,0,54501,0,100756
SP-00458,deficit,none,0,0,0,0,0
SP-00459,ok,reserve,1016562442,0,0,103268921,0
SP-00460,ok,debt,12753,24108,0,0,0
SP-00461,ok,debt,0,5770,0,0,22463
SP-00462,deficit,none,0,0,0,0,0
SP-00463,deficit,none,0,0,0,0,255939
SP-00464,ok,debt,0,39052,0,0,97484
SP-00465,ok,goals+,0,0,0,48464,139717
SP-00466,ok,reserve,870,0,579,0,0
SP-00467,ok,reserve,5041,0,3360,0,0
SP-00468,deficit,none,0,0,0,0,0
SP-00469,ok,reserve,6567,0,0,0,0
SP-00470,ok,goals+,0,0,3741,0,20572
SP-00471,deficit,none,0,0,0,0,0
SP-00472,ok,reserve,75762,0,34066,0,0
SP-00473,ok,reserve,43773,0,16255,0,0
SP-00474,ok,reserve,6730,0,4486,0,0
SP-00475,ok,reserve,3904,0,0,0,0
SP-00476,ok,reserve,20449,0,0,0,0
SP-00477,ok,reserve,24584,0,0,0,0
SP-00478,ok,reserve,26647,0,0,0,0
SP-00479,deficit,none,0,0,0,0,0
SP-00480,ok,reserve,402,0,0,0,0
SP-00481,ok,reserve,8151,0,0,0,0
SP-00482,ok,reserve,34618,0,0,0,0
SP-00483,ok,goals+,0,0,21673,10414,1781420
SP-00484,ok,reserve,8365,0,0,0,0
SP-00485,ok,debt,0,12961,0,0,7133
SP-00486,ok,reserve,7961,0,5307,0,0
SP-00487,ok,reserve,24908,0,0,0,0
SP-00488,ok,goals+,6794,10191,11322,0,0
SP-00489,ok,reserve,3146,0,2097,0,0
SP-00490,ok,reserve,43491,0,28993,0,0
SP-00491,ok,reserve,12391,0,0,0,0
SP-00492,ok,goals+,0,0,15549,0,26361
SP-00493,ok,goals+,2359,3538,3931,0,178707
SP-00494,ok,goals+,12420,18628,20698,0,0
SP-00495,deficit,none,0,0,0,0,0
SP-00496,deficit,none,0,0,0,0,0
SP-00497,ok,goals+,5888,0,11022,41803,0
SP-00498,ok,reserve,18,0,12,0,0
SP-00499,deficit,none,0,0,0,0,0
SP-00500,ok,goals+,0,0,0,18734,315042
SP-00501,ok,goals+,0,0,420081701,2532886874,3731407994
SP-00502,ok,reserve,9016,0,0,0,0
SP-00503,ok,debt,4166,6247,0,0,0
SP-00504,deficit,none,0,0,0,0,0
SP-00505,ok,reserve,13634,0,9088,0,0
SP-00506,ok,reserve,26212,0,0,0,0
SP-00507,ok,goals+,0,0,36962,0,90578
SP-00508,ok,debt,1,18125,0,0,40463
SP-00509,ok,reserve,9385,0,0,0,0
SP-00510,deficit,none,0,0,0,0,0
SP-00511,ok,goals+,0,0,0,48896,0
SP-00512,ok,reserve,14974,0,0,0,0
SP-00513,deficit,none,0,0,0,0,0
SP-00514,ok,reserve,6884,0,0,0,0
SP-00515,ok,debt,0,4661,0,0,17269
SP-00516,ok,reserve,4993,0,3328,0,0
SP-00517,ok,reserve,35893,0,0,0,0
SP-00518,ok,reserve,40409,0,15304,0,0
SP-00519,ok,debt,5392,8086,0,0,0
SP-00520,ok,reserve,19181,0,12787,0,0
SP-00521,ok,reserve,7142,0,4760,0,0
SP-00522,ok,goals+,0,0,0,44327,13315
SP-00523,ok,reserve,3039,0,0,0,0
SP-00524,ok,reserve,425,0,283,0,0
SP-00525,ok,goals+,1,0,24895,0,534164
SP-00526,deficit,none,0,0,0,0,0
SP-00527,ok,reserve,16607,0,0,0,0
SP-00528,ok,goals+,5293,7939,8821,0,0
SP-00529,ok,reserve,12926,0,0,0,0
SP-00530,deficit,none,0,0,0,0,0
SP-00531,ok,reserve,5456,0,0,0,0
SP-00532,ok,goals+,499,748,830,0,0
SP-00533,ok,reserve,7619,0,0,0,0
SP-00534,ok,goals+,0,0,0,55675,36465
SP-00535,deficit,none,0,0,0,0,0
SP-00536,ok,reserve,18441,4054,0,0,0
SP-00537,ok,reserve,34355,0,22903,0,0
SP-00538,ok,debt,0,3355,0,0,2695
SP-00539,ok,reserve,22735,0,0,0,0
SP-00540,ok,goals+,0,0,3,0,0
SP-00541,ok,reserve,25725,0,0,0,0
SP-00542,ok,goals+,0,0,1583,168,1871289
SP-00543,ok,reserve,100491644,0,0,0,0
SP-00544,deficit,none,0,0,0,0,0
SP-00545,ok,debt,0,17979,0,0,10011
SP-00546,deficit,none,0,0,0,0,0
SP-00547,ok,reserve,72232,0,0,0,0
SP-00548,ok,reserve,3644,0,0,0,0
SP-00549,ok,goals+,0,0,0,91807,467202
SP-00550,ok,reserve,16071,0,10714,0,0
SP-00551,ok,reserve,440,0,0,0,0
SP-00552,deficit,none,0,0,0,0,0
SP-00553,ok,debt,3738,5606,0,0,0
SP-00554,ok,debt,0,21333,0,0,38019
SP-00555,deficit,none,0,0,0,0,0
SP-00556,ok,reserve,54562,0,0,0,0
SP-00557,ok,reserve,2857,0,0,0,0
SP-00558,ok,reserve,43961,0,0,0,0
SP-00559,ok,reserve,6510,0,757,0,0
SP-00560,ok,reserve,20429,9405,0,0,0
SP-00561,ok,reserve,8344,0,0,0,0
SP-00562,ok,reserve,34403,0,2035,0,0
SP-00563,ok,reserve,8415,0,0,0,0
SP-00564,ok,reserve,71601,0,0,0,0
SP-00565,ok,goals+,0,0,0,4485,167315
SP-00566,ok,goals+,0,0,9417,11520,0
SP-00567,ok,debt,1,10507,0,0,1104272
SP-00568,ok,goals+,0,0,5728,0,294145
SP-00569,ok,reserve,7580,0,2221,0,0
SP-00570,ok,reserve,22148,0,3903,0,0
SP-00571,ok,debt,0,16320,0,0,77133
SP-00572,ok,reserve,531,0,354,0,0
SP-00573,ok,reserve,737,0,491,0,0
SP-00574,ok,reserve,1784,0,0,0,0
SP-00575,ok,reserve,19071,0,12714,0,0
SP-00576,ok,goals+,0,0,0,3941,30290
SP-00577,deficit,none,0,0,0,0,0
SP-00578,ok,reserve,1953,0,1302,0,0
SP-00579,ok,debt,0,13123,0,0,145063
